Продукт	Белки	Жиры	Углеводы	Ккал
полукопченая минская	23	17.4	2.7	259
полукопченая полтавская	16.4	39	0	417
полукопченая украинская	16.5	34.4	0	376
сырокопченая любительская	20.9	47.8	0	514
сырокопченая московская	24.8	41.5	0	473
говядина тушеная	16.8	18.3	0	232
завтрак туриста (говядина)	20.5	10.4	0	176
завтрак туриста (свинина)	16.9	15.4	0	206
колбасный фарш	15.2	15.7	2.8	213
свинина тушеная	14.9	32.2	0	349
грудинка сырокопченая	7.6	66.8	0	632
корейка сырокопченая	10.5	47.2	0	467
ветчина	22.6	20.9	0	279
яйцо куриное	12.7	11.5	0.7	157
яичный порошок	45	37.3	7.1	542
сухой белок	73.3	1.8	7	336
сухой желток	34.2	52.2	4.4	623
яйцо перепелиное	11.9	13.1	0.6	168
горбуша	21	7	0	147
камбала	16.1	2.6	0	88
карась	17.7	1.8	0	87
карп	16	3.6	0	96
кета	22	5.6	0	138
корюшка	15.5	3.2	0	91
ледяная	15.5	1.4	0	75
лещ	17.1	4.1	0	105
семга	20.8	15.1	0	219
макрурус	13.2	0.8	0	60
минтай	15.9	0.7	0	70
мойва	13.4	11.5	0	157
навага	16.1	1	0	73
налим	18.8	0.6	0	81
нототения мраморная	14.8	10.7	0	156
окунь морской	17.6	5.2	0	117
окунь речной	18.5	0.9	0	82
осетр	16.4	10.9	0	164
палтус	18.9	3	0	103
путассу	16.1	0.9	0	72
рыба0сабля	20.3	3.2	0	110
рыбец каспийский	19.2	2.4	0	98
сазан	18.4	5.3	0	121
сайра крупная	18.6	20.8	0	262
сайра мелкая	20.4	0.8	0	143
салака	17.3	5.6	0	121
сельдь	17.7	19.5	0	242
сиг	19	7.5	0	144
скумбрия	18	9	0	153
сом	16.8	8.5	0	144
ставрида	18.5	5	0	119
стерлядь	17	6.1	0	320
судак	19	0.8	0	83
треска	17.5	0.6	0	75
тунец	22.7	0.7	0	96
угольная рыба	13.2	11.6	0	158
угорь морской	19.1	1.9	0	94
угорь	14.5	30.5	0	333
хек	16.6	2.2	0	86
щука	18.8	0.7	0	82
язь	18.2	0.3	0	117
креветка дальневосточная	28.7	1.2	0	134
печень трески	4.2	65.7	0	613
кальмар	18	0.3	0	75
краб	16	0.5	0	69
креветка	18	0.8	0	83
морская капуста	0.9	0.2	3	5
паста “океан”	18.9	6.8	0	137
фундук	16.1	66.9	9.9	704
миндаль	18.6	57.7	13.6	645
грецкий орех	13.8	61.3	10.2	648
арахис	26.3	45.2	9.7	548
семя подсолнечника	20.7	52.9	5	578
мед	0.8	0	80.3	308
драже фруктовое	3.7	10.2	73.1	384
зефир	0.8	0	78.3	299
ирис	3.3	7.5	81.8	387
мармелад	0	0.1	77.7	296
карамель	0	0.1	77.7	296
конфеты. глаз0ые шоколадом	2.9	10.7	76.6	396
пастила	0.5	0	80.4	305
сахар	0.3	0	99.5	374
халва подсолнечная	11.6	29.7	54	516
шоколад темный	5.4	35.3	52.6	540
шоколад молочный	6.9	35.7	52.4	547
вафли с фр0ми начинками	3.2	2.8	80.1	342
вафли с жировыми начинками	3.4	30.2	64.7	530
пирожное слоеное с кремом	5.4	38.6	46.4	544
пирожное слоеное с яблоком	5.7	25.6	52.7	454
пирожное бисквитное	4.7	9.3	84.4	344
пряники	4.8	2.8	77.7	336
торт бисквитный	4.7	20	49.8	386
торт миндальный	6.6	35.8	46.8	524
